elevation,stimulus,spectral_centroid_hz,target_centroid_hz,repeat_index
0.0,stim508_russian.wav,2290.221961909449,683.6190706814848,1
10.0,stim321_scream.wav,2402.871532491234,2533.1485844280833,1
20.0,stim527_ringtone.wav,1388.8818900753254,4382.6780981746815,1
30.0,stim434_classic_rock.wav,2767.5503755922346,6232.207611921281,1
40.0,stim140_electric_hand_drill.wav,5903.278405968585,8081.737125667879,1
50.0,stim88_coin_dropping.wav,7244.343251795075,9931.266639414478,1
60.0,stim366_telephone_ringing.wav,8211.175954391361,11780.796153161076,1
0.0,stim512_heart_beat.wav,1199.3549763119447,683.6190706814848,2
10.0,stim162_frog_croaking.wav,2291.8856238016733,2533.1485844280833,2
20.0,stim337_siren.wav,1598.972768181001,4382.6780981746815,2
30.0,stim318_school_bell.wav,8718.058868705133,6232.207611921281,2
40.0,stim86_clock_ticking.wav,6756.506183810973,8081.737125667879,2
50.0,stim370_toothbrushing.wav,7590.229015725749,9931.266639414478,2
60.0,stim392_velcro.wav,8630.618563619551,11780.796153161076,2
0.0,stim321_scream.wav,2402.871532491234,683.6190706814848,3
10.0,stim209_kettle_whistling.wav,3717.1219001523937,2533.1485844280833,3
20.0,stim387_typing.wav,3457.4630946778366,4382.6780981746815,3
30.0,stim116_dog_barking.wav,2727.1892699793325,6232.207611921281,3
40.0,stim513_running_water.wav,5990.908272059566,8081.737125667879,3
50.0,stim370_toothbrushing.wav,7590.229015725749,9931.266639414478,3
60.0,stim366_telephone_ringing.wav,8211.175954391361,11780.796153161076,3
0.0,stim283_contemporary_rb.wav,2669.8829164317144,683.6190706814848,4
10.0,stim89_coin_in_vending_machine.wav,4481.845477870828,2533.1485844280833,4
20.0,stim66_cash_register.wav,6296.620184575825,4382.6780981746815,4
30.0,stim508_russian.wav,2290.221961909449,6232.207611921281,4
40.0,stim211_keys_jingling.wav,7806.487868771409,8081.737125667879,4
50.0,stim352_spraying.wav,11780.796153161076,9931.266639414478,4
60.0,stim211_keys_jingling.wav,7806.487868771409,11780.796153161076,4
0.0,stim182_grunting_and_groaning.wav,1978.8087558896173,683.6190706814848,5
10.0,stim475_punk_music.wav,2314.3956643194592,2533.1485844280833,5
20.0,stim488_busy_signal.wav,1600.4637685817568,4382.6780981746815,5
30.0,stim89_coin_in_vending_machine.wav,4481.845477870828,6232.207611921281,5
40.0,stim318_school_bell.wav,8718.058868705133,8081.737125667879,5
50.0,stim320_scratching.wav,10254.740870494225,9931.266639414478,5
60.0,stim352_spraying.wav,11780.796153161076,11780.796153161076,5
0.0,stim194_helicopter.wav,1033.3269970790825,683.6190706814848,6
10.0,stim162_frog_croaking.wav,2291.8856238016733,2533.1485844280833,6
20.0,stim34_blues_band.wav,2449.4603164475534,4382.6780981746815,6
30.0,stim211_keys_jingling.wav,7806.487868771409,6232.207611921281,6
40.0,stim405_whispering.wav,4420.175484894028,8081.737125667879,6
50.0,stim352_spraying.wav,11780.796153161076,9931.266639414478,6
60.0,stim392_velcro.wav,8630.618563619551,11780.796153161076,6
0.0,stim488_busy_signal.wav,1600.4637685817568,683.6190706814848,7
10.0,stim273_airplane_taking_off.wav,2094.8511676695657,2533.1485844280833,7
20.0,stim517_soundtrack_from_an_action_scene.wav,2477.9931314131272,4382.6780981746815,7
30.0,stim513_running_water.wav,5990.908272059566,6232.207611921281,7
40.0,stim329_electric_shaver.wav,5925.17188509849,8081.737125667879,7
50.0,stim318_school_bell.wav,8718.058868705133,9931.266639414478,7
60.0,stim352_spraying.wav,11780.796153161076,11780.796153161076,7
0.0,stim174_girl_speaking.wav,2387.713665847916,683.6190706814848,8
10.0,stim193_heavy_metal_music.wav,4631.602074056105,2533.1485844280833,8
20.0,stim102_crumpling_paper.wav,5702.642235695911,4382.6780981746815,8
30.0,stim50_camera_snapping_photos.wav,8277.695360635063,6232.207611921281,8
40.0,stim401_walking_with_heels.wav,6076.284196672937,8081.737125667879,8
50.0,stim392_velcro.wav,8630.618563619551,9931.266639414478,8
60.0,stim366_telephone_ringing.wav,8211.175954391361,11780.796153161076,8
0.0,stim332_angry_shouting.wav,2159.6873514143376,683.6190706814848,9
10.0,stim38_boy_speaking.wav,3789.8371564383383,2533.1485844280833,9
20.0,stim156_wings_flapping.wav,4885.829523678857,4382.6780981746815,9
30.0,stim140_electric_hand_drill.wav,5903.278405968585,6232.207611921281,9
40.0,stim405_whispering.wav,4420.175484894028,8081.737125667879,9
50.0,stim352_spraying.wav,11780.796153161076,9931.266639414478,9
60.0,stim352_spraying.wav,11780.796153161076,11780.796153161076,9
0.0,stim506_hindi.wav,2345.5776524097078,683.6190706814848,10
10.0,stim420_zipper.wav,2682.1577058846874,2533.1485844280833,10
20.0,stim387_typing.wav,3457.4630946778366,4382.6780981746815,10
30.0,stim391_vacuum.wav,4089.4132431572025,6232.207611921281,10
40.0,stim29_biting_and_chewing.wav,4305.081711880377,8081.737125667879,10
50.0,stim132_water_dripping.wav,6873.960682027713,9931.266639414478,10
60.0,stim352_spraying.wav,11780.796153161076,11780.796153161076,10
