epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,0.22517669200897217,0.001,0.3789322078227997,0.22517669200897217,0.07021044939756393,0.20749099552631378,0.07021044939756393
1,0.12938711047172546,0.001,0.2849041223526001,0.12938711047172546,0.05703841149806976,0.18759620189666748,0.05703841149806976
2,0.11690615862607956,0.001,0.2735285460948944,0.11690615862607956,0.048704925924539566,0.17653651535511017,0.048704925924539566
3,0.09492026269435883,0.001,0.24620214104652405,0.09492026269435883,0.04995037615299225,0.17374186217784882,0.04995037615299225
4,0.08370412141084671,0.001,0.23141396045684814,0.08370412141084671,0.040218643844127655,0.15594835579395294,0.040218643844127655
5,0.07702825963497162,0.001,0.22030410170555115,0.07702825963497162,0.03769015893340111,0.1483609825372696,0.03769015893340111
6,0.07258203625679016,0.001,0.21519093215465546,0.07258203625679016,0.041870880872011185,0.1597568392753601,0.041870880872011185
7,0.07234737277030945,0.001,0.21262787282466888,0.07234737277030945,0.03677285090088844,0.14669165015220642,0.03677285090088844
8,0.07629479467868805,0.001,0.21943214535713196,0.07629479467868805,0.03319598734378815,0.13878986239433289,0.03319598734378815
9,0.06988753378391266,0.001,0.20775184035301208,0.06988753378391266,0.031789444386959076,0.1363878697156906,0.031789444386959076
10,0.06394211202859879,0.001,0.19922204315662384,0.06394211202859879,0.028994077816605568,0.13083456456661224,0.028994077816605568
11,0.058844730257987976,0.001,0.1925087720155716,0.058844730257987976,0.03405316546559334,0.14248010516166687,0.03405316546559334
12,0.05456366762518883,0.001,0.18317939341068268,0.05456366762518883,0.03228302299976349,0.14069519937038422,0.03228302299976349
13,0.05642947182059288,0.001,0.18615996837615967,0.05642947182059288,0.03192899748682976,0.13839951157569885,0.03192899748682976
14,0.05413803085684776,0.001,0.18042334914207458,0.05413803085684776,0.029665954411029816,0.13235993683338165,0.029665954411029816
15,0.05628076568245888,0.001,0.18518494069576263,0.05628076568245888,0.031636472791433334,0.13578762114048004,0.031636472791433334
16,0.0534043163061142,0.0005,0.1800975203514099,0.0534043163061142,0.029889419674873352,0.131605327129364,0.029889419674873352
17,0.05983983725309372,0.0005,0.19060447812080383,0.05983983725309372,0.028880001977086067,0.1310758888721466,0.028880001977086067
18,0.05242503806948662,0.0005,0.17723539471626282,0.05242503806948662,0.02684880420565605,0.1255001425743103,0.02684880420565605
19,0.050727564841508865,0.0005,0.17612424492835999,0.050727564841508865,0.02474137768149376,0.11998531967401505,0.02474137768149376
